sampleID,Domain,SiteID,quarantinedYN,CollDate,Remarks
CPER_045_41_Mineral_30_ 38,D10,CPER,,20140716,1
CPER_046_23_Mineral_23_ 8,D10,CPER,,20140716,1
CPER_046_23_Mineral_31_ 3,D10,CPER,,20140716,1
CPER_046_39_Mineral_19_ 30,D10,CPER,,20140716,1
CPER_005_21_Mineral_4_ 9,D10,CPER,,20140717,1
CPER_005_23_Mineral_33_ 2,D10,CPER,,20140717,1
CPER_005_41_Mineral_24_ 40,D10,CPER,,20140717,1
CPER_007_21_Mineral_6_ 12,D10,CPER,,20140717,1
CPER_007_23_Mineral_36_ 16,D10,CPER,,20140717,1
CPER_007_39_Mineral_3_ 37,D10,CPER,,20140717,1
CPER_047_23_Mineral_33_ 17,D10,CPER,,20140717,1
CPER_047_39_Mineral_18_ 37,D10,CPER,,20140717,1
CPER_047_39_Mineral_2_ 27,D10,CPER,,20140717,
CPER_001_21_Mineral_7_ 0,D10,CPER,,20140812,
CPER_001_41_Mineral_22_ 32,D10,CPER,,20140812,
CPER_001_41_Mineral_30_ 37,D10,CPER,,20140812,
CPER_002_21_Mineral_9_ 4,D10,CPER,,20140812,
CPER_002_23_Mineral_25_ 6,D10,CPER,,20140812,3
CPER_002_39_Mineral_10_ 34,D10,CPER,,20140812,1
CPER_003_21_Mineral_15_ 7,D10,CPER,,20140812,2
CPER_003_21_Mineral_4_ 7,D10,CPER,,20140812,2
CPER_003_23_Mineral_33_ 11,D10,CPER,,20140812,2
CPER_004_21_Mineral_16_ 7,D10,CPER,,20140812,5
CPER_004_39_Mineral_0_ 30,D10,CPER,,20140812,5
CPER_004_41_Mineral_23_ 38,D10,CPER,,20140812,
CPER_001_21_M_14_ 7,D10,CPER,,20140909,
CPER_001_21_M_15_ 1,D10,CPER,,20140909,
CPER_001_23_M_39_ 16,D10,CPER,,20140909,
CPER_002_21_M_19_ 1,D10,CPER,,20140909,
CPER_002_39_M_3_ 28,D10,CPER,,20140909,3
