mortonOrder,plotID,siteID,nlcdClass,plotType,subtype,applicableModules
38854,ORNL_048,ORNL,pastureHay,distributed,basePlot,div
38854,ORNL_048,ORNL,pastureHay,distributed,birdGrid,brd
45419,ORNL_049,ORNL,,tower,basePlot,bbc|bgc|cdw|dhp|div|hbp|ltr|mfb|sme|vst
55611,ORNL_050,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
60779,ORNL_051,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
123243,ORNL_052,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
150891,ORNL_053,ORNL,,tower,basePlot,bbc|bgc|cdw|dhp|hbp|ltr|mfb|sme|vst
165179,ORNL_054,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
186731,ORNL_055,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
196971,ORNL_056,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
201067,ORNL_057,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
236907,ORNL_058,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
249195,ORNL_059,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
318827,ORNL_060,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
327019,ORNL_061,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
375147,ORNL_062,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
553323,ORNL_063,ORNL,,tower,basePlot,bbc|cdw|dhp|hbp|ltr|mfb|vst
676203,ORNL_064,ORNL,,tower,phenology,phe
958000,ORNL_065,ORNL,,tower,phenology,phe
6086,ORNL_066,ORNL,,distributed,basePlot,
875,ORNL_067,ORNL,deciduousForest,distributed,basePlot,
915,ORNL_068,ORNL,deciduousForest,distributed,basePlot,
299,ORNL_069,ORNL,deciduousForest,distributed,birdGrid,
212,HARV_001,HARV,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
212,HARV_001,HARV,deciduousForest,distributed,birdGrid,brd
212,HARV_001,HARV,deciduousForest,distributed,mammalGrid,mam
212,HARV_001,HARV,deciduousForest,distributed,tickPlot,tck
660,HARV_002,HARV,deciduousForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
660,HARV_002,HARV,deciduousForest,distributed,tickPlot,
792,HARV_004,HARV,mixedForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
792,HARV_004,HARV,mixedForest,distributed,birdGrid,brd
792,HARV_004,HARV,mixedForest,distributed,tickPlot,tck
884,HARV_005,HARV,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
884,HARV_005,HARV,deciduousForest,distributed,tickPlot,
1040,HARV_006,HARV,deciduousForest,distributed,basePlot,bet|cdw|dhp|div|hbp|vst
1040,HARV_006,HARV,deciduousForest,distributed,birdGrid,brd
1040,HARV_006,HARV,deciduousForest,distributed,mammalGrid,mam
1040,HARV_006,HARV,deciduousForest,distributed,tickPlot,tck
2072,HARV_008,HARV,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
2072,HARV_008,HARV,deciduousForest,distributed,birdGrid,brd
2072,HARV_008,HARV,deciduousForest,distributed,mammalGrid,mam
2072,HARV_008,HARV,deciduousForest,distributed,tickPlot,
2260,HARV_010,HARV,mixedForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|vst
2260,HARV_010,HARV,mixedForest,distributed,mammalGrid,mam
2260,HARV_010,HARV,mixedForest,distributed,tickPlot,
2392,HARV_011,HARV,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
2840,HARV_012,HARV,deciduousForest,distributed,basePlot,cdw|dhp|div|hbp|vst
2840,HARV_012,HARV,deciduousForest,distributed,birdGrid,brd
3344,HARV_013,HARV,evergreenForest,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
3344,HARV_013,HARV,evergreenForest,distributed,birdGrid,brd
3344,HARV_013,HARV,evergreenForest,distributed,tickPlot,
3732,HARV_014,HARV,mixedForest,distributed,basePlot,cdw|dhp|div|hbp|vst
3732,HARV_014,HARV,mixedForest,distributed,birdGrid,brd
3732,HARV_014,HARV,mixedForest,distributed,mammalGrid,mam
3732,HARV_014,HARV,mixedForest,distributed,tickPlot,
4216,HARV_015,HARV,deciduousForest,distributed,basePlot,div
4440,HARV_016,HARV,woodyWetlands,distributed,basePlot,bet|bgc|cdw|dhp|div|hbp|sme|vst
4440,HARV_016,HARV,woodyWetlands,distributed,birdGrid,brd
4440,HARV_016,HARV,woodyWetlands,distributed,mammalGrid,mam
4756,HARV_017,HARV,deciduousForest,distributed,basePlot,div
4888,HARV_018,HARV,deciduousForest,distributed,basePlot,div
5144,HARV_020,HARV,woodyWetlands,distributed,basePlot,cdw|dhp|div|hbp|vst
5144,HARV_020,HARV,woodyWetlands,distributed,mammalGrid,mam
